电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
"The Good, the Bad and the Ugly",1966,,Western,161,85,Italian,Sergio Leone,Luciano Vincenzoni,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",For three men the Civil War wasn't hell. It was practice.
Forrest Gump,1994,,Comedy,142,85,"$55,000,000.00",Robert Zemeckis,Winston Groom,Seorang lelaki lemah lembut dan ramah menelusuri beberapa peristiwa penting sambil mengilhamkan orang di sekeliling dengan semangat positifnya yang berterusan.,The world will never be the same once you've seen it through the eyes of Forrest Gump.
GoodFellas,1990,,Drama,145,85,"$25,000,000.00",Martin Scorsese,Nicholas Pileggi,Fildm ini menceritakan jatuh bangunnya anggota mafia Henry Hill dan teman-temannya selama zaman 1955-1980.,Three decades of life in the mafia.
Seven Samurai,1954,,Action,207,85,Japanese,Akira Kurosawa,Shinobu Hashimoto,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",Unmatched for suspense and spectacle!
Grave of the Fireflies,1988,,Animation,89,84,Japanese,Isao Takahata,,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",Why do fireflies have to die so soon?
Life Is Beautiful,1997,,Comedy,116,84,Italian,Roberto Benigni,Vincenzo Cerami,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,"An unforgettable fable that proves love, family and imagination conquer all."
Fight Club,1999,,Drama,139,84,"$63,000,000.00",David Fincher,Chuck Palahniuk,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.
The Lord of the Rings: The Fellowship of the Ring,2001,,Adventure,179,84,"$93,000,000.00",Peter Jackson,J. R. R. Tolkien,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all.
David Attenborough: A Life on Our Planet,2020,,Documentary,83,84,-,Alastair Fothergill,Keith Scholey,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",Overview
Harakiri,1962,,Action,135,84,Japanese,Masaki Kobayashi,Yasuhiko Takiguchi,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","What befalls others today, may be your own fate tomorrow."
City of God,2002,,Drama,129,84,Portuguese,Fernando Meirelles,Paulo Lins,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","If you run, the beast catches you; if you stay, the beast eats you."
Human,2015,,Documentary,191,84,"$15,483,821.00",Yann Arthus-Bertrand,,"A collection of stories about and images of our world, offering an immersion to the core of what it means to be human. Through these stories full of love and happiness, as well as hatred and violence, it brings us face to face with the Other, making us reflect on our lives. From stories of everyday experiences to accounts of the most unbelievable lives, these poignant encounters share a rare sincerity and underline who we are – our darker side, but also what is most noble in us, and what is universal. Our Earth is shown at its most sublime through never-before-seen aerial images accompanied by soaring music, resulting in an ode to the beauty of the world, providing a moment to draw breath and for introspection. This film is a politically engaged work which allows us to embrace the human condition and to reflect on the meaning of our existence.",Overview
Cinema Paradiso,1988,,Drama,124,84,Italian,Giuseppe Tornatore,Vanna Paoli,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.
The Lord of the Rings: The Two Towers,2002,,Adventure,179,84,"$79,000,000.00",Peter Jackson,J. R. R. Tolkien,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",The journey continues.
Psycho,1960,,Horror,109,84,"$1,999.00",Alfred Hitchcock,Robert Bloch,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",A new and altogether different screen excitement!
One Flew Over the Cuckoo's Nest,1975,,Drama,133,84,"$3,000,000.00",Miloš Forman,Ken Kesey,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","In this clean, orderly, disciplined world, who needs guys like McMurphy? Everybody."
A Dog's Will,2000,,Comedy,104,84,Portuguese,Guel Arraes,Ariano Suassuna,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",Lying with faith is not always a sin.
Impossible Things,2021,,Family,88,84,Spanish; Castilian,Ernesto Contreras,Estéfani Enríquez Soto,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",There are encounters that change your life
