电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
The Intouchables,2011,,Drama,113,83,French,Olivier Nakache,Éric Toledano,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,Sometimes you have to reach into someone else's world to find out what's missing in your own.
Apocalypse Now,1979,,Drama,147,83,"$31,500,000.00",Francis Ford Coppola,John Milius,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",This is the end...
"Josee, the Tiger and the Fish",2020,,Animation,98,83,Japanese,Kotaro Tamura,Sayaka Kuwamura,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",Together they can fly.
Out of the Clear Blue Sky,2019,,Comedy,112,83,Spanish; Castilian,Pepe Bojórquez,Alfredo Felix-Diaz,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",Overview
Night and Fog,1956,,Documentary,32,83,French,Alain Resnais,Jean Cayrol,Filmmaker Alain Resnais documents the atrocities behind the walls of Hitler's concentration camps.,Overview
The Lion King,1994,,Animation,89,83,"$45,000,000.00",Roger Allers,Rob Minkoff,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",The greatest adventure of all is finding our place in the Circle of Life.
Paths of Glory,1957,,War,88,83,"$935,000.00",Stanley Kubrick,Humphrey Cobb,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,It explodes in the no-man's land no picture ever dared cross before!
Rascal Does Not Dream of a Dreaming Girl,2019,,Animation,90,83,Japanese,Soichi Masui,Hajime Kamoshida,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",Overview
Hotarubi no Mori e,2011,,Romance,45,83,Japanese,Takahiro Omori,,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...","""To sacrifice a whole life for one single touch..."""
Neon Genesis Evangelion: The End of Evangelion,1997,,Animation,87,83,Japanese,Hideaki Anno,Kazuya Tsurumaki,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",The fate of destruction is also the joy of rebirth.
Miracle in Cell No. 7,2019,,Drama,132,83,Turkish,Mehmet Ada Öztekin,Kubilay Tat,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",Overview
Le Trou,1960,,Drama,132,83,-,Jacques Becker,José Giovanni,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",Poor Gaspard...
A Brighter Summer Day,1991,,Crime,237,83,Chinese,Edward Yang,Mingtang Lai,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",Overview
City Lights,1931,,Comedy,87,82,"$1,500,000.00",Charlie Chaplin,Harry Carr,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,True Blind Love
Michael Jackson's Thriller,1983,,Horror,14,82,"$500,000.00",John Landis,Michael Jackson,"A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry.",Overview
The Matrix,1999,,Action,136,82,"$63,000,000.00",Lana Wachowski,Lilly Wachowski,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Believe the unbelievable.
Clouds,2020,,Music,121,82,-,Kara Holden,Justin Baldoni,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Don't wait for tomorrow to live for today.
